ROW_ID;ID;TITLE;ALT TITLE;RLS DATE;DURATION (MIN);DIRECTORS;ACTORS;CATEGORIES;ORIGIN;NB_SEASONS;NB_EPISODES;DESCRIPTION;IMAGE;KEYWORDS
494;6502;Les Ch'tis vs les Marseillais;ND;En cours;30 min;;;;France;2;31;"Le principe de cette édition spéciale des Ch'tis et des Marseilais consiste à gagner des jobs dans leur domaine. Chaque semaine, plusieurs jobs leur sont proposés, avec un gagnant par épreuve. À la fin de chaque semaine, l'équipe ayant gagné le plus de jobs possibles remporte la semaine et l'équipe perdante doit éliminer une personne de son équipe. Chaque début de semaine, une battle est organisée et permet à l'équipe gagnante de récupérer une personne de leur équipe. La totalité des semaines gagnantes est totalisée à la fin du séjour pour désigner le vainqueur de ce séjour.

- Saison 01 (2014 ) - Qui seront les meilleurs ? - 31 épisodes
Du 02/06/2014 au 11/07/2014
Les candidats : Gaëlle 28 ans (danseuse), Jordan 22 ans (Barman), Tressia 24 ans (Serveuse), Hillary 23 ans (Serveuse & modèle photo), Vincent 23 ans (Barman), Charles 22 ans (DJ), Adixia 22 ans (DJ, danseuse, mannequin & chanteuse), Christopher 27 ans (Barman), Serena 27 ans (Mannequin)

- Saison 02 (2015) - La revanche
... En-cours...
....";https://str01-m.dpstream.media/s/6502/les-chtis-vs-les-marseillais-1474815379.jpg;Série Les Ch'tis vs les Marseillais streaming,Les Ch'tis vs les Marseillais dpstream, Série Les Ch'tis vs les Marseillais HD, Les Ch'tis vs les Marseillais streaming VF
495;6501;Le Gerfaut;ND;Terminée;52 min;Marion Sarraut;Laurent Le, Marianne Anska, Dora Doll;;France;1;15;"Bretagne, 1779. Gilles Goëlo est un beau jeune homme en conflit avec sa mère ; elle l'appelle 'le bâtard', lui cache l'identité de son père et le destine à être curé de campagne. Mais Gilles veut découvrir le monde et... les femmes. Il vient justement de sauver de la noyade la charmante Judith de Saint-Mélène et en tombe amoureux. Toujours désireux d'embarquer pour les Amériques, Gilles va voir l'abbé de Thalhouet, son parrain, qui lui apprend le secret de sa naissance...

ATTENTION
Format 
- 30 x 26 min. (diffusion TV)
- 15 x 52 min. (édition DVD)";https://str01-m.dpstream.media/s/6501/le-gerfaut-1474542545.png;Série Le Gerfaut streaming,Le Gerfaut dpstream, Série Le Gerfaut HD, Le Gerfaut streaming VF
496;6500;Lucifer;ND;En cours;42 min;Tom Kapinos;Tom Ellis, Lauren German, Rachael Harris;;États-Unis;1;13;"Lassé et mécontent de sa position de 'Seigneur des Enfers', Lucifer Morningstar démissionne et abandonne le trône de son royaume pour la bouillonnante et non moins impure Los Angeles. Dans la Cité des anges, l'ex maître diabolique est le patron d'un nightclub baptisé 'Lux'. Quand une star de la Pop est sauvagement assassinée sous ses yeux, il décide de partir à la recherche du coupable et croise sur sa route Chloe Dancer, une femme flic qui résiste à ses charmes et lui met constamment des bâtons dans les roues.

Alors que l'improbable duo s'entraide pour venir à bout de l'enquête, l'ange Amenadiel est envoyé à Los Angeles par Dieu pour tenter de convaincre Lucifer de regagner son royaume. L'ancien Seigneur des Enfers cèdera-t-il aux sirènes du Mal qui l'appellent ou se laissera-t-il tenter par le Bien, vers lequel l'inspecteur Chloe Dancer semble peu à peu l'amener ?";https://str01-m.dpstream.media/s/6500/lucifer-1472634261.jpg;Série Lucifer streaming,Lucifer dpstream, Série Lucifer HD, Lucifer streaming VF
497;6499;Chez Victoire;ND;En cours;90 min;incenzo Marano;Valérie Damidot, Roxane Damidot, Marie-Christine Adam;;France;1;1;"Victoire a saisi sa chance ! Elle n'a demandé l'avis de personne, même pas de sa famille. Il fallait prendre une décision : 'tout le monde déménage !'. En venant en aide à Madeleine, propriétaire d'un domaine viticole, Victoire va réaliser son plus grand rêve. Être à la tête d'un lieu pouvant accueillir et venir en aide à qui bon lui semble ! Un lieu que la propriétaire ne destinait pas vraiment à ce genre d'activité Et pourtant, par la force des évènements qu'elle traverse, elle sera obligée de composer avec les volontés de sa nouvelle locataire et de sa petite famille ! 

INFOS : 
- 1ère diffusion le 12/06/2015
- spin-off  et suite de la série Victoire Bonnot
http://www.dpstream.net/serie-4319-victoire-bonnot.html";https://str01-m.dpstream.media/s/6499/chez-victoire-1474543863.jpg;Série Chez Victoire streaming,Chez Victoire dpstream, Série Chez Victoire HD, Chez Victoire streaming VF
498;6498;Blindspot;ND;En cours;42 min;Martin Gero;Sullivan Stapleton, Jaimie Alexander, Audrey Esparza;;États-Unis;2;26;Une jeune femme amnésique est retrouvée totalement nue en plein milieu de Times Square à New York, recouverte de tatouages mystérieux, fraîchement réalisés. Un agent du FBI, chargé de l'enquête, suit les indices dispersés sur son corps, qui révèlent bientôt une conspiration de grande ampleur...;https://str01-m.dpstream.media/s/6498/blindspot-1473971874.jpg;Série Blindspot streaming,Blindspot dpstream, Série Blindspot HD, Blindspot streaming VF
499;6497;Marco Polo (2012);ND;En cours;30 min;Lutz Stutzner,  Tony Loeser,  Dave Barton Thomas;;;Canada, Allemagne;1;26;Avec une curiosité dévorante, le goût du savoir et une légère tendance à attirer les ennuis, le jeune Marco Polo se lance dans une grande quête : retrouver son père disparu alors quil parcourait la route vers lOrient. Accompagné de ses amis Luigi et Shi La Won, et muni du journal de voyage de son père, le vaillant Marco est prêt à explorer le monde : rien ni personne ne larrêtera. La série danimation Marco Polo suit les trois amis dans leur voyage épique. Pourchassés par des pirates avides, convoqués par de grands rois ou accueillis par des villageois armés, le trio devra faire face à toutes les situations et surtout courir très, très vite!;https://str01-m.dpstream.media/s/6497/marco-polo-(2012)-1474543725.jpg;Série Marco Polo (2012) streaming,Marco Polo (2012) dpstream, Série Marco Polo (2012) HD, Marco Polo (2012) streaming VF
500;6496;Marco Polo (2007);ND;Terminée;84 min;Kevin Connor;Ian Somerhalder, Desiree Ann, B.D. Wong;;États-Unis;1;2;Les aventures de Marco Polo, un marchand vénitien, qui est emprisonné à Gênes. Il raconte à un codétenu mourant ses extraordinaires aventures en Chine, et son ascension dans la cour de Kubilai Khan en Mongolie. Mais que sest-il passé pour quil se retrouve emprisonné en Italie ?;https://str01-m.dpstream.media/s/6496/marco-polo-(2007)-1474543506.jpg;Série Marco Polo (2007) streaming,Marco Polo (2007) dpstream, Série Marco Polo (2007) HD, Marco Polo (2007) streaming VF
501;6495;Marco Polo (1982);ND;Terminée;65 min;Giuliano Montaldo;Kenneth Marshall, Denholm Elliott, Tony Vogel;;Italie, États-Unis;1;8;Au 13ème siècle, l'année de ses 17 ans, Marco Polo quitte l'Italie pour la Chine avec ses parents et son oncle. Son périple en direction de l'Asie dure trois ans et demi et le mènera des déserts stériles aux vastes steppes. Marco passera plusieurs années à Pékin en tant qu'invité du Grand Khan, gagnant la confiance et le respect de l'Empereur...;https://str01-m.dpstream.media/s/6495/marco-polo-(1982)-1473316252.jpg;Série Marco Polo (1982) streaming,Marco Polo (1982) dpstream, Série Marco Polo (1982) HD, Marco Polo (1982) streaming VF
502;6494;Boom : gagner ne tient qu'à un fil !;ND;En cours;35 min;TF1;Vincent Lagaf;;France;1;10;"Dans «Boom : gagner ne tient qu'à un fil !», deux familles de trois candidats vont s'opposer à travers des questions de culture générale et tenter de remporter jusqu'à 80 000 euros par jour ! Ils vont, dans un premier temps, essayer d'accumuler jusqu'à 30 000 euros avant de s'opposer dans l'épreuve du «Duel». Une famille en sortira victorieuse et affrontera «la bombe en or» pour tenter de décrocher 50 000 euros supplémentaires ! La famille lauréate pourra revenir jour après jour et continuer à affronter des bombes pour gagner un maximum d'argent ! Dans «Boom», les questions sont représentées par des «bombes» de couleurs où chaque fil est une proposition de réponse

Adaptation de l'émission israélienne 'Boom'";https://str01-m.dpstream.media/s/6494/boom--gagner-ne-tient-qu'à-un-fil-1474543399.jpg;Série Boom : gagner ne tient qu'à un fil ! streaming,Boom : gagner ne tient qu'à un fil ! dpstream, Série Boom : gagner ne tient qu'à un fil ! HD, Boom : gagner ne tient qu'à un fil ! streaming VF
503;6493;Histoires d'étoiles (Seven Ages of Starlight);ND;Terminée;45 min;Gaby Hornsby;Rupert Graves, Robin Catchpole, Steve Cowley;;Royaume-Uni;1;2;"Mêlant clichés transmis par le télescope Hubble, prises de vues de satellites et interviews dastronomes, ce documentaire en deux parties narre le destin des étoiles, de leur naissance à leur mort spectaculaire.
Ce documentaire en deux volets raconte lincroyable saga des étoiles, depuis leur naissance dans d'immenses nuages de gaz interstellaires jusqu'à leur mort spectaculaire. Il s'appuie sur les récents clichés transmis par le télescope spatial Hubble, un traitement graphique innovant et la participation d'astronomes internationalement renommés.

-- Titre oiginal : Seven Ages of Starlight --

- 01 x 01 : La naissance d'une étoile mobilise des forces colossales. Tout commence dans dimmenses nuages de gaz et de poussière, sombres et froids : les nébuleuses. Alimentées par la fusion nucléaire, les étoiles brûlent de lhydrogène et le transforment en hélium, libérant une prodigieuse quantité de lumière et de chaleur. La première partie de ce programme sintéresse plus particulièrement au soleil, brillant depuis cinq milliards dannées, et soumis à une lutte incessante entre la fusion nucléaire et la gravité.

- 01 x 02 : Ce second volet décrit le cycle de vie des étoiles : comment elles naissent, brillent pendant des millions ou des milliards dannées, puis vieillissent et se transforment en géantes rouges, puis en naines blanches. Il explique également que les étoiles sont des alchimistes qui créent les matériaux dont se compose le cosmos et que leur énergie a fait jaillir la vie sur Terre. Or, si ces briques de vie ont gagné notre globe, elles pourraient aussi avoir atteint des planètes en orbite autour dautres soleils";https://str01-m.dpstream.media/s/6493/histoires-d'étoiles-(seven-ages-of-starlight)-1474352869.jpg;Série Histoires d'étoiles (Seven Ages of Starlight) streaming,Histoires d'étoiles (Seven Ages of Starlight) dpstream, Série Histoires d'étoiles (Seven Ages of Starlight) HD, Histoires d'étoiles (Seven Ages of Starlight) streaming VF
504;6492;Appelez-moi Caitlyn (I Am Cait);ND;En cours;42 min;Gil Goldschein;Bruce Jenner, Caitlyn Jenner;;États-Unis;1;8;"Ancien médaillé dor aux Jeux olympiques dété de 1976, spécialiste du décathlon, puis star dans l'émission de téléréalité américaine 'L'incroyable famille Kardashian', Bruce Jenner, qui avait dévoilé sa transsexualité il y a quelques mois, révèle enfin son prénom féminin. Ce sera donc 'Caitlyn'. Un acte qui semble avoir fait beaucoup de bien à la star de télé-réalité et ex-beau-père de Kim Kardashian. «Je suis tellement heureuse après un tel combat de pouvoir vivre sous ma vraie identité. Bienvenue dans ce monde Caitlyn. Jai hâte que vous fassiez sa/ma connaissance.» 

' Appelez moi Cait' est une série documentaire de la télévision américaine qui relate la vie de Bruce Jenner après son changement de sexe. La série se concentre sur la «nouvelle normalité» pour Caitlyn Jenner, explorant comment sa transition affecte ses relations avec sa famille et ses amis. La série explore en outre comment Jenner ajuste à ce qu'elle considère comme son travail comme un modèle pour la communauté transgenre. 

-- Titre original : I Am Cait --";https://str01-m.dpstream.media/s/6492/appelez-moi-caitlyn-(i-am-cait)-1474543301.jpg;Série Appelez-moi Caitlyn (I Am Cait) streaming,Appelez-moi Caitlyn (I Am Cait) dpstream, Série Appelez-moi Caitlyn (I Am Cait) HD, Appelez-moi Caitlyn (I Am Cait) streaming VF
505;6491;Les Mariées de l'Isle Bourbon;ND;Terminée;90 min;Euzhan Palcy;Jean-Yves Berteloot, Sara Martins, Cécile Cassel;;France;1;2;Sur l'isle Bourbon, les destins se croisent et se cognent. Nous sommes au XVIIe siècle et les lointaines colonies françaises ont besoin d'être peuplées. Les femmes les plus esseulées sont envoyées au-delà des mers, au large de Madagascar, sur ce morceau de terre qui s'appellera plus tard la Réunion.;https://str01-m.dpstream.media/s/6491/6491-1475053259.jpg;Série Les Mariées de l'Isle Bourbon streaming,Les Mariées de l'Isle Bourbon dpstream, Série Les Mariées de l'Isle Bourbon HD, Les Mariées de l'Isle Bourbon streaming VF
506;6490;Mr. Robinson;ND;En cours;22 min;Owen Ellickson;Craig Robinson, Peri Gilpin, Brandon T.;;États-Unis;1;6;Un musicien talentueux mais torturé doit se faire à sa nouvelle vie de professeur de musique dans une école primaire, entre ses collègues pas toujours bien intentionnés et les tentations que représentent les mamans célibataires...;https://str01-m.dpstream.media/s/6490/mr.-robinson-1474543248.jpg;Série Mr. Robinson streaming,Mr. Robinson dpstream, Série Mr. Robinson HD, Mr. Robinson streaming VF
507;6489;Ange de feu;ND;Terminée;99 min;Philippe Setbon;Frédéric Diefenthal, Louise Monot, Marc Ruchmann;;France;1;2;Quelques minutes après avoir ouvert un mystérieux faire-part, Françoise Sorel se jette dans le vide. Ce suicide inexplicable laisse son mari Marc et sa fille de vingt ans, Lola, dans le plus total désarroi. Dans son testament, Françoise demandait à être inhumée à Castelnac, son village natal, dans le Périgord. Sur place la jeune fille est confrontée à une partie de sa famille qu'elle ne connaît pas et qui se montre ouvertement hostile. Alors que son père doit regagner Paris, Lola décide de rester quelques jours à Castelnac pour tenter de comprendre le geste de sa mère.;https://str01-m.dpstream.media/s/6489/ange-de-feu-1474543200.jpg;Série Ange de feu streaming,Ange de feu dpstream, Série Ange de feu HD, Ange de feu streaming VF
508;6488;Wet Hot American Summer : First Day of Camp;ND;En cours;30 min;David Wain,  Michael Showalter;Janeane Garofalo, David Hyde, Molly Shannon;;États-Unis;1;8;"Grand besoin de changer dair ? Ça tombe à pic, le mythique camp Firewood vient douvrir ses portes. Entre rivalités, secrets qui nen sont plus, débauche dhormones et coeurs brisés, passez un été 1981 inoubliable !


Préquel du film Wet Hot American Summer, sorti en 2001.";https://str01-m.dpstream.media/s/6488/wet-hot-american-summer-first-day-of-camp-1474441226.jpg;Série Wet Hot American Summer : First Day of Camp streaming,Wet Hot American Summer : First Day of Camp dpstream, Série Wet Hot American Summer : First Day of Camp HD, Wet Hot American Summer : First Day of Camp streaming VF
509;6487;Beauregard;ND;Terminée;90 min;Jean-Louis Lorenzi,  Catherine Hertault;Jean-François Balmer, Pierre Boulanger, Anne Jacquemin;;France;1;2;En 1961, les enfants d'un pensionnat, dirigé avec exigence et discipline par Pierre Hautefort, professeur de littérature, vont rencontrer Julien Ferrer, professeur de science contestataire avant l'heure, et avec lui, la modernité qui leur permettra de devenir des hommes !;https://str01-m.dpstream.media/s/6487/beauregard-1474525939.jpg;Série Beauregard streaming,Beauregard dpstream, Série Beauregard HD, Beauregard streaming VF
510;6486;Mieux vaut en rire;ND;En cours;60 min;France Ô,  David Montagne,  France O;Shirley Souagnon;;France;1;8;"Quelle meilleure arme contre la bêtise que l'humour ?
La preuve avec l'humoriste Shirley Souagnon qui propose de revoir les sketches de nos plus grands comiques. 


- 01 x 01 - 20150505-Les Djeun's
- 01 x 02 - 20150505-C'est quoi ton 06 ?
- 01 x 03 - 20150512-Moi, raciste !?
- 01 x 04 - 20150512-Les Blédards
- 01 x 05 - 20150526-Nous, les filles !
- 01 x 06 - 20150602-Le quartier, mon tiekard
- 01 x 07 - 20150609-Si si, la famille !
- 01 x 08 - 20150623-Les galériens !";https://str01-m.dpstream.media/s/6486/col_579132-1473862508.jpg;Série Mieux vaut en rire streaming,Mieux vaut en rire dpstream, Série Mieux vaut en rire HD, Mieux vaut en rire streaming VF
511;6485;La Science de l'étrange;ND;En cours;50 min;Guilain Depardieu;;;France;2;1;"Deux documentaires, deux enquêtes pas tout à fait comme les autres dans lesquelles la science va tenter d'accéder à la frontière entre le monde des vivants et celui des morts, et de décrypter les pouvoirs du cerveau humain

- 01 x 01 - 20150308 - Aux frontières de l'au-delà
- 01 x 02 - 20150308 - Les pouvoirs du cerveau";https://str01-m.dpstream.media/s/6485/22882-1473247114.jpeg;Série La Science de l'étrange streaming,La Science de l'étrange dpstream, Série La Science de l'étrange HD, La Science de l'étrange streaming VF
512;6484;Significant Mother;ND;En cours;22 min;Erin Cardillo,  Richard Keith;Josh Zuckerman, Krista Allen, Jonathan Silverman;;États-Unis;1;9;Nate est restaurateur à Portland. Lorsqu'il revient d'un voyage d'affaire, il découvre que son meilleur ami et colocataire Jimmy sort avec sa mère. Et c'est le moment que le père de Nate choisit pour vouloir reconquérir son ex-femme.;https://str01-m.dpstream.media/s/6484/significant-mother-s1-poster-1475071724.jpg;Série Significant Mother streaming,Significant Mother dpstream, Série Significant Mother HD, Significant Mother streaming VF
513;6483;Shokuzai;ND;Terminée;45 min;Kiyoshi Kurosawa;Kyôko Koizumi, Yû Aoi, Eiko Koike;;Japon;1;5;"Lorsque Emiri arrive dans sa nouvelle école à Ueda, elle se lie rapidement d'amitié avec quatre autres petites filles, Sae, Maki, Yuka et Akiko. Un jour, Sae remarque que sa poupée a disparu et après en avoir parlé à ses amies, elle réalise que de nombreuses autres poupées ont été volées dans leur petite ville. Lors d'un après-midi, les filles s'amusent sur le terrain de l'école lorsqu'un homme les interrompt et leur demande de l'aide à l'intérieur du gymnase. Emiri l'accompagne mais ne revient pas. Violée puis tuée par l'inconnu, Emiri est étendue par terre dans la grande salle silencieuse. Parce que ses amies n'ont jamais pu se rappeler du visage de l'homme, justice ne sera pas rendue. Quelque temps plus tard, la mère d'Emiri les convoque chez elle et leur déclare que tant qu'elles ne se souviendront pas du visage de l'homme qu'elles ont pourtant vu, elle ne leur pardonnera pas et elles devront payer pour leur faute. 15 ans plus tard, Sae, Maki, Yuka et Akiko mènent des existences difficiles, toujours traumatisées par leur passé... 

Adaptation du roman homonyme de Kanae Minato.
Cette mini-série a aussi été remontée sous la forme d'un long-métrage en deux parties.
Le premier film réunit les deux premiers épisodes, et le second les trois derniers.";https://str01-m.dpstream.media/s/6483/shokuzai-1474543014.jpg;Série Shokuzai streaming,Shokuzai dpstream, Série Shokuzai HD, Shokuzai streaming VF
514;6482;Down Dog;ND;En cours;30 min;Robin Schiff;Josh Casaubon, Paget Brewster, Lyndsy Fonseca;;États-Unis;1;1;Logan Wood a erré toute sa vie, dun job sans importance à un autre, sappuyant principalement sur son physique pour se sortir du moindre problème et pour éviter davoir à prendre lui-même d'importantes décisions. Aujourdhui, il est professeur de yoga dans le club de sa soeur qu'il doit gérer.;https://str01-m.dpstream.media/s/6482/down-dog-1474542905.jpg;Série Down Dog streaming,Down Dog dpstream, Série Down Dog HD, Down Dog streaming VF
515;6481;Le Meilleur Menu de France;ND;En cours;48 min;TF1;Yannick Delpech, Laurent Mariotte;;France;1;25;"Tous à la tête d'un établissement, pour certains détenteurs d'une ou plusieurs étoiles, cinq chefs restaurateurs d'une seule et même région tentent d'élaborer le meilleur menu de France tout en essayant de surpasser leurs concurrents. Chaque jour de la semaine, un chef doit réaliser une entrée, un plat à base de viande, un autre à base de poisson et un dessert.
À l'issue du verdict établi par Laurent Mariotte, Yannick Delpech et un chef de renommée de la région représentée, les deux candidats les plus performants qui ont réalisé le meilleur menu en mettant le mieux en valeur les produits de leur terroir sont qualifiés pour un duel final.
Au terme des 5 semaines de concours, les cinq chefs sélectionnés au cours des semaines s'affrontent lors d'une grande finale nationale. Le gagnant décroche l'opportunité de réaliser son menu au dîner du Gala des 150 ans de la Croix-Rouge.

Une semaine se déroule comme suit :
- Lundi : entrée
- Mardi : plat à base de viande
- Mercredi : plat à base de poisson
- Jeudi : dessert
- Vendredi : finale";https://str01-m.dpstream.media/s/6481/le-meilleur-menu-de-france-1474541728.jpg;Série Le Meilleur Menu de France streaming,Le Meilleur Menu de France dpstream, Série Le Meilleur Menu de France HD, Le Meilleur Menu de France streaming VF
516;6479;Le Courrier du désert;ND;Terminée;25 min;Michael Noonan et Michael Plant;;;Australie;1;34;"L'histoire de l'Amérique Christopher Cobb et sa fondation du premier entraîneur-ligne de l'Australie, où il a établi dans la colonie de la Nouvelle-Galles du Sud, Australie.

Titre original : Whiplash";https://str01-m.dpstream.media/s/6479/le-courrier-du-désert-1473073914.jpg;Série Le Courrier du désert streaming,Le Courrier du désert dpstream, Série Le Courrier du désert HD, Le Courrier du désert streaming VF
517;6478;Another Period;ND;En cours;30 min;Natasha Leggero,  Riki Lindhome;Thomas Lennon, Kate Flannery, Christina Hendricks;;États-Unis;2;20;Les mésaventures de la famille Bellacourts, la première famille de lÉtat de Rhode Island. Elle n'a absolument rien à offrir au monde, mais a tellement dargent que ça na pas dimportance...;https://str01-m.dpstream.media/s/6478/another-period-1474542416.jpg;Série Another Period streaming,Another Period dpstream, Série Another Period HD, Another Period streaming VF
518;6477;Sex&Drugs&Rock&Roll;ND;En cours;26 min;Denis Leary;Denis Leary, Elizabeth Gillies, John Corbett;;États-Unis;2;20;Un rocker qui se fait vieux rêve encore désespérement de devenir riche et célèbre. En vain. Une opportunité inespérée se présente alors. Promouvoir la carrière de chanteuse d'une fille illégitime dont il ignorait jusque-là l'existence. Pour cela, il va devoir s'associer avec son ex-partenaire de jeu.;https://str01-m.dpstream.media/s/6477/527989.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1467376079.jpg;Série Sex&Drugs&Rock&Roll streaming,Sex&Drugs&Rock&Roll dpstream, Série Sex&Drugs&Rock&Roll HD, Sex&Drugs&Rock&Roll streaming VF
519;6476;Complications;ND;En cours;42 min;Matt Nix;Jason O'Mara, Jessica Szohr, Beth Riesgraf;;États-Unis;1;10;Après avoir été impliqué dans une fusillade de gang, un médecin urgentiste désabusé de banlieue voit sa vie changer lorsqu'il explore l'importance que peut avoir un docteur dans la recherche des causes de problèmes médicaux de ses patients.;https://str01-m.dpstream.media/s/6476/complications-1474542327.jpg;Série Complications streaming,Complications dpstream, Série Complications HD, Complications streaming VF
520;6475;La Vocation d'Adrienne;ND;Terminée;90 min;Joël Santoni;Anny Duperey, Christian Rauth, Jean-Luc Moreau;;France;1;3;Adrienne Forestier, quinquagénaire peu féminine, est chauffeur de bus à Paris. Sa vie familiale s'organise autour de son mari, Michel, un contremaître, et de ses deux enfants, Julie et Jérémy. A la suite d'une rencontre inopportune avec elle va à sa grande surprise intéresser un grand couturier qui voit en elle la future mannequin de son défilé de prêt-à-porter. Adrienne refuse tout d'abord la surprenante proposition pour finalement se laisser finalement persuader. Entre problèmes d'argent, famille, amis et ragots, la nouvelle vie d'Adrienne va lui en faire voir de toutes les couleurs.;https://str01-m.dpstream.media/s/6475/la-vocation-d'adrienne-1474542104.jpg;Série La Vocation d'Adrienne streaming,La Vocation d'Adrienne dpstream, Série La Vocation d'Adrienne HD, La Vocation d'Adrienne streaming VF
521;6474;Le Grand Blind Test;ND;En cours;90 min;TF1;Laurence Boccolini, Thierry Ardisson;;France;3;12;"L'animatrice accueille sur le plateau deux équipes de quatre personnalités pour un blind test géant et totalement interactif. Tout au long de l'émission, les deux équipes doivent deviner le plus rapidement possible l'interprète de titres musicaux diffusés à l'antenne. Après plusieurs manches en équipes, la finale dévoilera « Le Grand Champion du Blind Test ». Outre une bonne connaissance musicale, les célébrités devront rivaliser de rapidité pour être les premières à donner la bonne réponse.

- Saison 01 (2003 - France 2)
- Saison 02 (2015 - TF1)
- Saison 03 (2016 - TF1)";http://zupimages.net/up/15/30/9tdy.jpg;Série Le Grand Blind Test streaming,Le Grand Blind Test dpstream, Série Le Grand Blind Test HD, Le Grand Blind Test streaming VF
522;6473;L'Amour est dans le pré : seconde chance (France);ND;En cours;90 min;M6;;;France;1;10;"Depuis neuf ans, Lamour est dans le pré a permis à une soixantaine dagriculteurs et agricultrices de rencontrer lâme sur. Pour dautres en revanche, laventure sest soldée par un échec.
Dans cette nouvelle version, six anciens agriculteurs retentent laventure afin de trouver lâme sur.

Le principe de l'émission est de présenter au public plusieurs agriculteurs célibataires.
Les téléspectateurs peuvent ensuite envoyer une lettre à l'agriculteur de leur choix dans l'espoir de se faire choisir par ce dernier. Parmi ces courriers, l'agriculteur choisit dix lettres, et leurs signataires ont un rendez-vous organisé avec lui à Paris.
Lors de ce rendez-vous, l'agriculteur sélectionne deux personnes pour passer une semaine dans la ferme qui le fait vivre afin de mieux se connaître.

POUR INFO :
- les portraits des candidats sont en général classés en épisode 00

LÉGENDES des abréviations :
- PORT = Portrait
- BILAN = Bilan";https://str01-m.dpstream.media/s/6473/6473-1473060427.jpg;Série L'Amour est dans le pré : seconde chance (France) streaming,L'Amour est dans le pré : seconde chance (France) dpstream, Série L'Amour est dans le pré : seconde chance (France) HD, L'Amour est dans le pré : seconde chance (France) streaming VF
523;6472;C'est arrivé à Sunrise;ND;Terminée;50 min;Roy Huggins;Marilyn Maxwell;;États-Unis;1;26;"Cette série met en scène les histoires vécues par des voyageurs qui fréquentent le dîner de Grace Sherwood à proximité du terminal de bus de la petite ville de Sunrise dans le Colorado.

Titre original : Bus Stop";https://str01-m.dpstream.media/s/6472/bus-stop-1474541971.jpg;Série C'est arrivé à Sunrise streaming,C'est arrivé à Sunrise dpstream, Série C'est arrivé à Sunrise HD, C'est arrivé à Sunrise streaming VF
524;6471;Adèle;ND;Terminée;25 min;Ted Key;Shirley Booth;;États-Unis;5;154;"Cette série met en scène les mésaventures de la famille Baxter et de leur bonne, Adèle.

Titre original : Hazel";https://str01-m.dpstream.media/s/6471/hazel-1473162219.jpg;Série Adèle streaming,Adèle dpstream, Série Adèle HD, Adèle streaming VF
525;6470;Le Tourbillon des jours;ND;Terminée;55 min;Jacques Doniol-Valcroze;Niels Arestrup, Yolande Folliot, Anny Romand, Louise Roblin, Yvon Sarray;;France;1;6;"A Treilhac, un bourg près de Poitiers, entre 1890 et 1911, alors que se produisent de grands évènements comme laffaire Dreyfus, les attentats anarchistes ou le scandale de Panama, nous suivons les affaires de cur, plutôt compliquées, de plusieurs personnages, notamment un garçon boucher qui connaîtra une destinée extraordinaire en épousant une comtesse, puis sa filleule.

Adaptation daprès les romans LES NOCES DE CORREZE et LHEURE DETE de Denyse VAUTRIN";http://zupimages.net/up/15/30/hfbl.jpg;Série Le Tourbillon des jours streaming,Le Tourbillon des jours dpstream, Série Le Tourbillon des jours HD, Le Tourbillon des jours streaming VF
526;6469;L'Ouest aux deux visages;ND;Terminée;30 min;;Charles Bateman, Francis De, Joyce Meadows, Paul Comi;;États-Unis;1;39;"La ville de Gallison, dans le Colorado, est gérée par les frères jumeaux Dick et Ben Allison. Le premier est le shérif, le second est le médecin de la ville, plutôt opposé à la violence... Pourtant, les deux frères, n'hésitent jamais à s'unir contre les hors la loi.

Titre original : Two Faces West";https://str01-m.dpstream.media/s/6469/two_faces_west_tv_series_807884303_large-1475064529.jpg;Série L'Ouest aux deux visages streaming,L'Ouest aux deux visages dpstream, Série L'Ouest aux deux visages HD, L'Ouest aux deux visages streaming VF
527;6468;Route 66;ND;Terminée;52 min;Stirling Silliphant;;;États-Unis;4;116;"Ce road movie suit le voyage en voiture de deux amis sur la célèbre route 66, de Chicago à Los Angeles. Chacune de leurs étapes est le théâtre d'aventures et de rencontres inattendues.

Tod et Buzz, deux héros intrépides, parcouraient inlassablement la voie mythique pour y résoudre des enquêtes policières. Leur monture d'alors n'était autre que la voiture de sport la plus en vogue du moment, la Chevrolet Corvette.";https://str01-m.dpstream.media/s/6468/route-66-1474525007.jpg;Série Route 66 streaming,Route 66 dpstream, Série Route 66 HD, Route 66 streaming VF
528;6467;Les Accusés;ND;Terminée;48 min;Reginald Rose;E. G.;;États-Unis;4;132;"Cette série, qui a réuni diverses vedettes du petit et du grand écran, suit l'histoire d'un groupe d'avocats, dans divers cas judiciaires sensibles.

Titre original : The Defenders";https://str01-m.dpstream.media/s/6467/6467-1474272521.jpg;Série Les Accusés streaming,Les Accusés dpstream, Série Les Accusés HD, Les Accusés streaming VF
